type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-01-02 08:25:20,59.31442950,18.06972761,12.00,52.643,,0.000,,18,26,20230102-092520,GPS Logger: 20230102-092520 - Cykel jobb
T,2023-01-02 08:25:21,59.31442950,18.06972761,12.00,51.005,,0.000,,20,35,,
T,2023-01-02 08:25:22,59.31442950,18.06972761,12.00,50.708,,0.000,,20,35,,
T,2023-01-02 08:25:23,59.31442950,18.06972761,12.00,50.259,,0.000,,20,34,,
T,2023-01-02 08:25:24,59.31443488,18.06971368,12.00,49.984,,0.373,16,20,35,,
T,2023-01-02 08:25:25,59.31443488,18.06971368,12.00,49.669,,0.000,,21,34,,
T,2023-01-02 08:25:26,59.31443488,18.06971368,12.00,49.572,,0.000,,21,34,,
T,2023-01-02 08:25:27,59.31443488,18.06971368,12.00,49.768,,0.000,,20,34,,
T,2023-01-02 08:25:28,59.31443488,18.06971368,12.00,49.711,,0.000,,20,31,,
T,2023-01-02 08:25:29,59.31443488,18.06971368,12.00,49.546,,0.000,,12,27,,
T,2023-01-02 08:25:30,59.31443488,18.06971368,12.00,48.998,,0.000,,11,30,,
T,2023-01-02 08:25:31,59.31445383,18.06973612,12.00,48.891,,0.570,17,11,30,,
T,2023-01-02 08:25:32,59.31446251,18.06974334,8.00,48.392,,0.474,13,13,31,,
T,2023-01-02 08:25:33,59.31446251,18.06974334,8.00,48.255,,0.000,,13,33,,
T,2023-01-02 08:25:34,59.31446251,18.06974334,8.00,48.135,,0.000,,12,31,,
T,2023-01-02 08:25:35,59.31446251,18.06974334,8.00,48.116,,0.000,,13,31,,
T,2023-01-02 08:25:36,59.31446251,18.06974334,12.00,48.366,,0.000,,11,29,,
T,2023-01-02 08:25:37,59.31446251,18.06974334,12.00,48.343,,0.000,,13,30,,
T,2023-01-02 08:25:38,59.31445954,18.06973356,12.00,48.448,,0.348,7,13,31,,
T,2023-01-02 08:25:39,59.31446087,18.06973128,12.00,47.853,,0.346,8,13,31,,
T,2023-01-02 08:25:40,59.31446087,18.06973128,8.00,47.145,,0.000,,14,33,,
T,2023-01-02 08:25:41,59.31447020,18.06973466,8.00,46.787,,1.068,353,12,30,,
T,2023-01-02 08:25:42,59.31448276,18.06973577,8.00,46.498,,0.629,358,12,32,,
T,2023-01-02 08:25:43,59.31448629,18.06972407,8.00,46.794,,1.098,340,12,32,,
T,2023-01-02 08:25:44,59.31449174,18.06971229,8.00,46.632,,1.079,343,13,32,,
T,2023-01-02 08:25:45,59.31450083,18.06970603,8.00,46.518,,1.348,15,13,33,,
T,2023-01-02 08:25:46,59.31451297,18.06970167,8.00,46.028,,1.436,359,13,33,,
T,2023-01-02 08:25:47,59.31452790,18.06967882,8.00,47.407,,2.025,332,12,32,,
T,2023-01-02 08:25:48,59.31454587,18.06965926,8.00,47.654,,1.956,337,13,34,,
T,2023-01-02 08:25:49,59.31456521,18.06964408,8.00,47.182,,1.635,345,14,34,,
T,2023-01-02 08:25:50,59.31458310,18.06962713,8.00,47.148,,1.845,357,14,32,,
T,2023-01-02 08:25:51,59.31460505,18.06961306,8.00,47.389,,2.227,347,16,33,,
T,2023-01-02 08:25:52,59.31463190,18.06959847,8.00,47.576,,2.068,315,17,33,,
T,2023-01-02 08:25:53,59.31465443,18.06955268,8.00,48.007,,2.334,296,18,34,,
T,2023-01-02 08:25:54,59.31467461,18.06949322,8.00,49.048,,2.396,294,21,33,,
T,2023-01-02 08:25:55,59.31468814,18.06944502,8.00,48.933,,2.823,297,18,34,,
T,2023-01-02 08:25:56,59.31470638,18.06939058,6.00,48.618,,2.064,305,25,34,,
T,2023-01-02 08:25:57,59.31472716,18.06934605,6.00,48.919,,1.789,313,24,34,,
T,2023-01-02 08:25:58,59.31474885,18.06931681,6.00,48.313,,1.690,340,24,33,,
T,2023-01-02 08:25:59,59.31476922,18.06930475,6.00,47.323,,1.864,352,24,34,,
T,2023-01-02 08:26:00,59.31478670,18.06930117,6.00,45.951,,1.414,345,23,34,,
