time,seconds_elapsed,z,y,x
1.68E+18,0.061775146,0.06282711,0.022128562,-0.02280435
1.68E+18,0.071775146,0.036491394,-0.001881896,-0.010745533
1.68E+18,0.081775146,0.06282711,0.026743937,-0.022762649
1.68E+18,0.091775146,0.101135254,0.009863261,-0.032205567
1.68E+18,0.101775391,0.060433388,0.012215944,-0.020249084
1.68E+18,0.111775635,0.070011139,0.031223489,-0.017757371
1.68E+18,0.121775391,0.03888607,-0.016833149,-0.027292632
1.68E+18,0.131775635,0.05325222,0.021366937,0.013501469
1.68E+18,0.141776611,0.060434341,0.037912581,-0.022384673
1.68E+18,0.151776855,0.031703949,0.004245024,-0.015123904
1.68E+18,0.161776855,0.086771011,0.018564414,-0.017413571
1.68E+18,0.171776855,0.053253174,0.023248557,-0.026878387
1.68E+18,0.181774658,0.055648804,0.006482215,-0.024226323
1.68E+18,0.191774414,0.077198029,0.030370725,-0.019233473
1.68E+18,0.201774658,0.038892746,0.042208452,-0.02382715
1.68E+18,0.211774414,0.070017815,0.020490598,0.002728201
1.68E+18,0.221774658,0.055651665,0.025042892,-0.009232789
1.68E+18,0.231774414,0.017345428,0.015322465,0.012431994
1.68E+18,0.241774658,0.048472404,0.01769742,0.005568124
1.68E+18,0.251774414,0.029324532,0.019851208,0.006329969
1.68E+18,0.261774658,-0.016158104,0.033981554,0.0361773
1.68E+18,0.271774414,0.072441101,-0.007029176,0.049926948
1.68E+18,0.281774658,0.170622826,-0.009534825,0.126711339
1.68E+18,0.291774414,0.390918732,0.01690124,0.122975484
1.68E+18,0.301774658,0.606440544,0.012494648,0.104085356
1.68E+18,0.311774414,0.697497368,0.006851454,0.030544713
1.68E+18,0.321774658,0.817315102,-0.028846517,-0.464624465
1.68E+18,0.331774414,0.805498123,0.018006908,-0.088079453
1.68E+18,0.341774658,0.784123421,-0.017968748,-0.046812385
1.68E+18,0.351774414,0.959104538,0.020820746,-0.24184297
1.68E+18,0.361774658,0.935406685,0.363905519,0.129360005
1.68E+18,0.371774414,0.88779068,0.275539398,0.033705384
1.68E+18,0.381773682,17.18842125,0.824038327,-1.318072081
1.68E+18,0.391773682,-7.891637325,0.193638369,-0.146360636
1.68E+18,0.401773682,-7.018125534,-0.546249747,-0.426777959
1.68E+18,0.411773682,5.666185379,0.09260124,-0.681577921
1.68E+18,0.421773682,-0.439489365,0.520564377,0.334260881
1.68E+18,0.431773682,8.289998055,-0.55604142,0.158231303
1.68E+18,0.441773438,-2.043413639,0.117983982,0.794820964
1.68E+18,0.451773438,1.691514015,0.236089051,0.63203764
1.68E+18,0.461773438,0.740991592,0.005972702,-0.03308434
1.68E+18,0.471773438,-0.695497513,0.271627426,0.177920625
1.68E+18,0.48177417,0.604580879,0.154072613,0.194745332
1.68E+18,0.49177417,0.120958328,-0.016801193,-0.053376697
1.68E+18,0.50177417,0.281393051,0.076082334,-0.599605083
1.68E+18,0.51177417,0.128176689,0.075902537,-0.212955356
1.68E+18,0.52177417,-0.037034988,-0.002933282,0.061323173
1.68E+18,0.53177417,-0.003527641,-0.009966835,0.086686403
1.68E+18,0.541774414,0.111390114,0.026464634,0.050141424
1.68E+18,0.55177417,-0.037051201,-0.025623269,0.133613884
1.68E+18,0.561774414,0.116182327,0.012934659,-0.048104025
1.68E+18,0.57177417,0.185623169,-0.051335834,-0.243887484
1.68E+18,0.581773438,0.030000687,-0.036878496,0.076923482
1.68E+18,0.591773438,0.053933144,0.003857009,0.059347078
1.68E+18,0.601773438,-0.010720253,0.023018386,0.039438382
1.68E+18,0.611773438,-0.010727882,0.01566124,0.13228178
1.68E+18,0.621773438,0.032366753,-0.003448635,0.103424706
1.68E+18,0.631773438,-0.005936623,0.056219451,-0.207358018
1.68E+18,0.641773438,0.118571281,0.068359055,-0.398165971
1.68E+18,0.651773438,-0.037037849,0.04687608,0.07208024
1.68E+18,0.661773438,0.046751022,0.049149327,-0.170249999
1.68E+18,0.671773438,0.015629768,-0.072787784,-0.069618359
1.68E+18,0.681774414,0.003646851,-0.144466013,0.096982643
1.68E+18,0.69177417,-0.00114727,-0.034074835,0.101215795
1.68E+18,0.701774414,0.015605927,0.083091334,0.062393259
1.68E+18,0.71177417,0.06109333,0.085252874,0.088743135
1.68E+18,0.721774414,0.123345375,0.027496133,-0.126313478
1.68E+18,0.73177417,0.137720108,0.089585096,-0.08000496
1.68E+18,0.741774414,0.176032066,0.067816034,-0.144118741
1.68E+18,0.75177417,0.161669731,0.022315715,-0.139130235
1.68E+18,0.761774414,0.085057259,-0.022943385,0.08122091
1.68E+18,0.77177417,0.087441444,-0.022662982,0.135234073
1.68E+18,0.781773438,0.065894127,-0.027070835,0.118337043
1.68E+18,0.791773438,0.073080063,0.028223086,0.06582725
1.68E+18,0.801773438,0.214344978,0.006817374,-0.292888284
1.68E+18,0.811773438,0.056337357,0.047563769,0.081453845
1.68E+18,0.821773438,0.068303108,0.008982442,0.033215098
1.68E+18,0.831773438,0.099428177,-0.065142848,-0.098361164
1.68E+18,0.841773438,0.039577484,-0.038654275,0.167610049
1.68E+18,0.851773438,0.039573669,-0.038649574,0.167232007
1.68E+18,0.861773438,0.111394882,0.006634053,-0.125068873
1.68E+18,0.871773438,0.058727264,-0.043617934,-0.038564116
1.68E+18,0.881774414,0.075480461,0.021032203,-0.027069435
1.68E+18,0.89177417,0.092238426,-0.120182887,-0.039166503
1.68E+18,0.901774414,0.053931236,0.014138091,0.061292939
1.68E+18,0.91177417,0.056319237,0.047201626,-0.001246892
1.68E+18,0.921774414,0.085047722,-0.027453467,-0.06095767
1.68E+18,0.93177417,0.077869415,0.120947778,-0.070250116
1.68E+18,0.941774414,0.085048676,-0.044482365,-0.036816031
1.68E+18,0.95177417,0.073077202,0.008216515,-0.024928138
1.68E+18,0.961774414,0.032375336,0.015299372,0.075623363
1.68E+18,0.97177417,0.077859879,-0.006514996,0.003480636
1.68E+18,0.981773438,0.044342041,0.144201428,-0.027507387
1.68E+18,0.991773193,0.106588364,0.035887577,-0.082428344
1.68E+18,1.001773193,0.073073387,0.038183011,-0.065396145
1.68E+18,1.011773193,0.061101913,0.021019988,0.047350168
1.68E+18,1.021773193,0.085040092,0.083010063,-0.005461872
1.68E+18,1.031773193,0.063491821,0.092243619,-0.012553647
1.68E+18,1.041773193,0.051517487,0.031894557,-0.086759627
1.68E+18,1.051773193,0.085038185,-0.009176619,-0.067293048
1.68E+18,1.061773193,0.039550781,-0.018785227,0.01908122
1.68E+18,1.071773193,0.05391407,-0.057097111,0.040450633
1.68E+18,1.08177417,0.037153244,0.012382828,0.025998399
1.68E+18,1.091773926,0.094613075,0.031484038,-0.048313476
1.68E+18,1.10177417,0.070672035,-0.021265138,-0.05055742
1.68E+18,1.111773926,0.044335365,-0.004441351,0.030736312
1.68E+18,1.12177417,0.070668221,-0.049906988,0.013735071
1.68E+18,1.131773926,0.063484192,-0.018649485,-0.036721937
1.68E+18,1.14177417,0.065876961,0.029182713,-0.041581385
1.68E+18,1.151773926,0.080241203,-0.014054362,-0.046388365
1.68E+18,1.16177417,0.034751892,0.031330399,0.006379128
1.68E+18,1.171773926,0.037143707,-0.040580623,0.01579041
1.68E+18,1.181773193,0.073056221,-0.004775465,-0.008194193
1.68E+18,1.191773193,0.053899765,0.035767879,-0.027483173
1.68E+18,1.201773193,0.101781845,0.016429313,-0.029929586
1.68E+18,1.211772705,0.070653915,0.04249382,0.02743274
1.68E+18,1.221772949,0.053892136,0.011040866,0.001026772
1.68E+18,1.231772705,0.080227852,0.042013325,-0.006113313
1.68E+18,1.241772949,0.058680534,0.051457621,-0.065928817
1.68E+18,1.251772705,0.065861702,-0.001499135,-0.020357184
1.68E+18,1.261772949,0.029947281,0.024669934,0.017895736
1.68E+18,1.271772705,0.03951931,0.024440996,-0.001461506
1.68E+18,1.281773682,0.08979702,0.079402305,-0.044601105
1.68E+18,1.291773926,0.07543087,0.040810756,-0.032548279
1.68E+18,1.301773926,0.061063766,-0.007126544,-0.011091672
1.68E+18,1.311773926,0.082609177,-0.043060318,0.04370039
1.68E+18,1.321773926,0.080212593,-0.026379243,-0.009099193
1.68E+18,1.331773682,0.070631981,-0.002385486,-0.052520268
1.68E+18,1.341773926,0.056263924,-0.045560859,-0.019148581
1.68E+18,1.351773682,0.046683311,-0.119903967,0.009282447
1.68E+18,1.361773926,0.04668045,-0.1223353,-0.012517698
1.68E+18,1.371773682,0.075407982,-0.12238811,-0.017397583
1.68E+18,1.381772949,0.068226814,-0.071943469,0.025613643
1.68E+18,1.391772949,0.058649063,0.011943068,0.01356931
1.68E+18,1.401772949,0.034707069,-0.03120026,-0.039155312
1.68E+18,1.411772949,0.061041832,-0.057743937,0.004010923
1.68E+18,1.421772949,0.063436508,-0.146463379,0.001656868
1.68E+18,1.431772949,0.063441277,-0.043162055,0.009064794
1.68E+18,1.441772949,0.082593918,-0.000167537,0.047367617
1.68E+18,1.451772949,0.061042786,0.083186284,0.020978436
1.68E+18,1.461772949,0.137653351,0.111151241,-0.11064785
1.68E+18,1.471772949,0.33398056,0.153486922,0.007158279
1.68E+18,1.481773926,0.58536911,0.076131143,0.026521474
1.68E+18,1.491773682,0.793669701,-0.005563024,-0.080659077
1.68E+18,1.501773926,0.973249435,0.049311634,-0.050669722
1.68E+18,1.511773926,1.191135406,0.108543694,-0.137972116
1.68E+18,1.52177417,1.337199211,0.129638404,-0.232063919
1.68E+18,1.531773926,1.600580215,-0.110520482,-0.464916646
1.68E+18,1.545372559,1.466528893,0.210086703,0.114039332
1.68E+18,1.555372314,1.583826065,0.031580001,-0.03056246
1.68E+18,1.565372559,1.500023842,0.364325941,0.359341621
1.68E+18,1.575372314,1.598172188,0.04518649,0.267477423
1.68E+18,1.585371338,1.804074287,-0.191492021,0.190832093
1.68E+18,1.595371582,1.856757164,0.261308014,0.229809523
1.68E+18,1.605371338,2.158421516,0.097365946,-0.136433765
1.68E+18,1.615371582,2.021965027,0.22427842,0.046552531
1.68E+18,1.625371826,2.201529503,-0.063271314,-0.149814472
1.68E+18,1.635371582,2.201542854,-0.062360562,-0.149079666
1.68E+18,1.645371826,2.172812462,0.052579366,-0.094077095
1.68E+18,1.655371582,2.235070229,-0.071232982,-0.266028285
1.68E+18,1.665371826,2.211139679,-0.034794457,-0.112183139
1.68E+18,1.675371582,2.275780678,-0.111228406,-0.145926163
1.68E+18,1.685372559,2.254239082,-0.048452519,-0.131362319
1.68E+18,1.695372559,2.254236221,-0.010317709,-0.073994726
1.68E+18,1.705372559,2.196772575,-0.185146466,0.074215107
1.68E+18,1.715372559,2.230293274,-0.09926153,0.131921306
1.68E+18,1.725372559,2.299730301,0.371491969,0.003503695
1.68E+18,1.735372559,2.192009926,0.023734409,0.582082868
