Tidstämpel;Kön:;Dominant ben:;Tid för höger ben:;Tid för vänster ben:;Vilket ben mättes först?;Fotbollsspelare?;
11-14-2023 13:03:37;Man;Höger;13;14;Höger;Ja;
11-14-2023 13:05:07;Man;Höger;45;11;Höger;Nej;
11-14-2023 13:05:12;Man;Höger;5;26;Höger;Nej;
11-14-2023 13:05:12;Kvinna;Vänster;52;9;Vänster;Nej;
11-14-2023 13:05:51;Man;Höger;14;19;Höger;Ja;
11-14-2023 13:06:16;Kvinna;Vänster;60;51;Vänster;Nej;
11-14-2023 13:06:29;Man;Höger;13;66;Vänster;Ja;
11-14-2023 13:06:35;Kvinna;Höger;24;12;Höger;Nej;
11-14-2023 13:06:52;Kvinna;Höger;15;24;Höger;Ja;
11-14-2023 13:07:06;Man;Höger;17;33;Vänster;Nej;
11-14-2023 13:07:16;Man;Höger;14;7;Höger;Ja;
11-14-2023 13:07:18;Man;Vänster;12;5;Höger;Ja;
11-14-2023 13:07:29;Man;Höger;85;65;Höger;Ja;
11-14-2023 13:07:47;Man;Höger;12;11;Höger;Nej;
11-14-2023 13:07:51;Man;Höger;78;19;Vänster;Nej;
11-14-2023 14:08:05;Man;Höger;105;101;Höger;Nej;
11-14-2023 14:08:14;Man;Höger;93;156;Höger;Ja;
11-14-2023 14:08:18;Man;Höger;3;45;Höger;Ja;
11-14-2023 14:08:19;Man;Vänster;103;31;Höger;Nej;
11-14-2023 14:08:22;Man;Höger;6;17;Höger;Ja;
11-14-2023 14:08:40;Man;Höger;95;23;Vänster;Ja;
11-14-2023 14:08:49;Man;Vänster;222;70;Vänster;Ja;
11-14-2023 14:08:54;Man;Höger;30;73;Vänster;Nej;
11-14-2023 14:09:46;Man;Höger;33;15;Vänster;Nej;
11-14-2023 14:09:52;Man;Höger;51;95;Höger;Ja;
11-14-2023 14:10:03;Man;Höger;60;50;Vänster;Ja;
11-14-2023 14:10:10;Kvinna;Höger;93;130;Vänster;Nej;
11-14-2023 14:10:18;Man;Höger;33;20;Vänster;Nej;
11-14-2023 14:10:23;Man;Höger;57;26;Höger;Ja;
11-14-2023 14:10:29;Man;Vänster;67;66;Höger;Ja;
11-14-2023 14:10:49;Man;Höger;35;138;Höger;Ja;
11-14-2023 14:11:01;Man;Höger;29;33;Höger;Nej;
11-14-2023 14:11:25;Man;Höger;15;41;Höger;Ja;
11-14-2023 14:11:46;Kvinna;Vänster;6;20;Vänster;Nej;
11-14-2023 14:12:20;Man;Höger;80;110;Höger;Ja;
11-14-2023 14:12:45;Man;Höger;102;15;Vänster;;
11-14-2023 14:13:20;Man;Höger;102;15;Vänster;Nej;
11-14-2023 14:14:37;Man;Höger;107;157;Höger;Nej;
