Tidstämpel;Kön;Dominant;Tid;Fot;Först;Fotbollsspelare;Dominant använt;Första mätning
11-14-2023 13:03:37;Man;Höger;13;Höger;Höger;Ja;Ja;Ja
11-14-2023 13:05:07;Man;Höger;45;Höger;Höger;Nej;Ja;Ja
11-14-2023 13:05:12;Man;Höger;5;Höger;Höger;Nej;Ja;Ja
11-14-2023 13:05:12;Kvinna;Vänster;52;Höger;Vänster;Nej;Nej;Nej
11-14-2023 13:05:51;Man;Höger;14;Höger;Höger;Ja;Ja;Ja
11-14-2023 13:06:16;Kvinna;Vänster;60;Höger;Vänster;Nej;Nej;Nej
11-14-2023 13:06:29;Man;Höger;13;Höger;Vänster;Ja;Ja;Nej
11-14-2023 13:06:35;Kvinna;Höger;24;Höger;Höger;Nej;Ja;Ja
11-14-2023 13:06:52;Kvinna;Höger;15;Höger;Höger;Ja;Ja;Ja
11-14-2023 13:07:06;Man;Höger;17;Höger;Vänster;Nej;Ja;Nej
11-14-2023 13:07:16;Man;Höger;14;Höger;Höger;Ja;Ja;Ja
11-14-2023 13:07:18;Man;Vänster;12;Höger;Höger;Ja;Nej;Ja
11-14-2023 13:07:29;Man;Höger;85;Höger;Höger;Ja;Ja;Ja
11-14-2023 13:07:47;Man;Höger;12;Höger;Höger;Nej;Ja;Ja
11-14-2023 13:07:51;Man;Höger;78;Höger;Vänster;Nej;Ja;Nej
11-14-2023 14:08:05;Man;Höger;105;Höger;Höger;Nej;Ja;Ja
11-14-2023 14:08:14;Man;Höger;93;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:08:18;Man;Höger;3;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:08:19;Man;Vänster;103;Höger;Höger;Nej;Nej;Ja
11-14-2023 14:08:22;Man;Höger;6;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:08:40;Man;Höger;95;Höger;Vänster;Ja;Ja;Nej
11-14-2023 14:08:49;Man;Vänster;222;Höger;Vänster;Ja;Nej;Nej
11-14-2023 14:08:54;Man;Höger;30;Höger;Vänster;Nej;Ja;Nej
11-14-2023 14:09:46;Man;Höger;33;Höger;Vänster;Nej;Ja;Nej
11-14-2023 14:09:52;Man;Höger;51;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:10:03;Man;Höger;60;Höger;Vänster;Ja;Ja;Nej
11-14-2023 14:10:10;Kvinna;Höger;93;Höger;Vänster;Nej;Ja;Nej
11-14-2023 14:10:18;Man;Höger;33;Höger;Vänster;Nej;Ja;Nej
11-14-2023 14:10:23;Man;Höger;57;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:10:29;Man;Vänster;67;Höger;Höger;Ja;Nej;Ja
11-14-2023 14:10:49;Man;Höger;35;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:11:01;Man;Höger;29;Höger;Höger;Nej;Ja;Ja
11-14-2023 14:11:25;Man;Höger;15;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:11:46;Kvinna;Vänster;6;Höger;Vänster;Nej;Nej;Nej
11-14-2023 14:12:20;Man;Höger;80;Höger;Höger;Ja;Ja;Ja
11-14-2023 14:12:45;Man;Höger;102;Höger;Vänster;NA;Ja;Nej
11-14-2023 14:13:20;Man;Höger;102;Höger;Vänster;Nej;Ja;Nej
11-14-2023 14:14:37;Man;Höger;107;Höger;Höger;Nej;Ja;Ja
11-14-2023 13:03:37;Man;Höger;14;Vänster;Höger;Ja;Nej;Nej
11-14-2023 13:05:07;Man;Höger;11;Vänster;Höger;Nej;Nej;Nej
11-14-2023 13:05:12;Man;Höger;26;Vänster;Höger;Nej;Nej;Nej
11-14-2023 13:05:12;Kvinna;Vänster;9;Vänster;Vänster;Nej;Ja;Ja
11-14-2023 13:05:51;Man;Höger;19;Vänster;Höger;Ja;Nej;Nej
11-14-2023 13:06:16;Kvinna;Vänster;51;Vänster;Vänster;Nej;Ja;Ja
11-14-2023 13:06:29;Man;Höger;66;Vänster;Vänster;Ja;Nej;Ja
11-14-2023 13:06:35;Kvinna;Höger;12;Vänster;Höger;Nej;Nej;Nej
11-14-2023 13:06:52;Kvinna;Höger;24;Vänster;Höger;Ja;Nej;Nej
11-14-2023 13:07:06;Man;Höger;33;Vänster;Vänster;Nej;Nej;Ja
11-14-2023 13:07:16;Man;Höger;7;Vänster;Höger;Ja;Nej;Nej
