Levande;Husdjur
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Nej
Nej;Ja
Nej;Ja
Nej;Ja
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Nej
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
Ja;Ja
