Subject;Reaction;Nights
1;249,56;0
2;222,7339;0
3;199,0539;0
4;321,5426;0
5;287,6079;0
6;234,8606;0
7;283,8424;0
8;265,4731;0
9;241,6083;0
10;312,3666;0
11;236,1032;0
12;256,2968;0
13;250,5265;0
14;221,6771;0
15;271,9235;0
16;225,264;0
17;269,8804;0
18;269,4117;0
1;250,8006;2
2;202,9778;2
3;234,32;2
4;283,8565;2
5;301,8206;2
6;272,9613;2
7;276,7693;2
8;243,3647;2
9;254,4907;2
10;291,6112;2
11;238,9256;2
12;256,2046;2
13;269,8939;2
14;326,8785;2
15;257,2424;2
16;238,9008;2
17;277,8989;2
18;297,5968;2
1;356,8519;4
2;207,7161;4
3;229,3074;4
4;285,7973;4
5;316,2773;4
6;317,4629;4
7;297,171;4
8;279,0244;4
9;251,4519;4
10;365,7324;4
11;250,7103;4
12;268,9165;4
13;271,8274;4
14;348,7402;4
15;314,8222;4
16;267,5373;4
17;279,1705;4
18;287,1726;4
