Subject;Nights0;Nights2;Nights4
1;249,56;250,8006;356,8519
2;222,7339;202,9778;207,7161
3;199,0539;234,32;229,3074
4;321,5426;283,8565;285,7973
5;287,6079;301,8206;316,2773
6;234,8606;272,9613;317,4629
7;283,8424;276,7693;297,171
8;265,4731;243,3647;279,0244
9;241,6083;254,4907;251,4519
10;312,3666;291,6112;365,7324
11;236,1032;238,9256;250,7103
12;256,2968;256,2046;268,9165
13;250,5265;269,8939;271,8274
14;221,6771;326,8785;348,7402
15;271,9235;257,2424;314,8222
16;225,264;238,9008;267,5373
17;269,8804;277,8989;279,1705
18;269,4117;297,5968;287,1726
