ID;Survived;PClass;Name;Sex;Age;SibSp;Parch;Fare;Embarked
1;No;3;Braund, Mr. Owen Harris;Male;22;1;0;7,25;S
2;Yes;1;Cumings, Mrs. John Bradley (Florence Briggs Thayer);Female;38;1;0;71,2833;C
3;Yes;3;Heikkinen, Miss. Laina;Female;26;0;0;7,925;S
4;Yes;1;Futrelle, Mrs. Jacques Heath (Lily May Peel);Female;35;1;0;53,1;S
5;No;3;Allen, Mr. William Henry;Male;35;0;0;8,05;S
6;No;3;Moran, Mr. James;Male;NA;0;0;8,4583;Q
7;No;1;McCarthy, Mr. Timothy J;Male;54;0;0;51,8625;S
8;No;3;Palsson, Master. Gosta Leonard;Male;2;3;1;21,075;S
9;Yes;3;Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg);Female;27;0;2;11,1333;S
10;Yes;2;Nasser, Mrs. Nicholas (Adele Achem);Female;14;1;0;30,0708;C
11;Yes;3;Sandstrom, Miss. Marguerite Rut;Female;4;1;1;16,7;S
12;Yes;1;Bonnell, Miss. Elizabeth;Female;58;0;0;26,55;S
13;No;3;Saundercock, Mr. William Henry;Male;20;0;0;8,05;S
14;No;3;Andersson, Mr. Anders Johan;Male;39;1;5;31,275;S
15;No;3;Vestrom, Miss. Hulda Amanda Adolfina;Female;14;0;0;7,8542;S
16;Yes;2;Hewlett, Mrs. (Mary D Kingcome) ;Female;55;0;0;16;S
17;No;3;Rice, Master. Eugene;Male;2;4;1;29,125;Q
18;Yes;2;Williams, Mr. Charles Eugene;Male;NA;0;0;13;S
19;No;3;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);Female;31;1;0;18;S
20;Yes;3;Masselmani, Mrs. Fatima;Female;NA;0;0;7,225;C
21;No;2;Fynney, Mr. Joseph J;Male;35;0;0;26;S
22;Yes;2;Beesley, Mr. Lawrence;Male;34;0;0;13;S
23;Yes;3;McGowan, Miss. Anna "Annie";Female;15;0;0;8,0292;Q
24;Yes;1;Sloper, Mr. William Thompson;Male;28;0;0;35,5;S
25;No;3;Palsson, Miss. Torborg Danira;Female;8;3;1;21,075;S
26;Yes;3;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);Female;38;1;5;31,3875;S
27;No;3;Emir, Mr. Farred Chehab;Male;NA;0;0;7,225;C
28;No;1;Fortune, Mr. Charles Alexander;Male;19;3;2;263;S
29;Yes;3;O'Dwyer, Miss. Ellen "Nellie";Female;NA;0;0;7,8792;Q
30;No;3;Todoroff, Mr. Lalio;Male;NA;0;0;7,8958;S
31;No;1;Uruchurtu, Don. Manuel E;Male;40;0;0;27,7208;C
32;Yes;1;Spencer, Mrs. William Augustus (Marie Eugenie);Female;NA;1;0;146,5208;C
33;Yes;3;Glynn, Miss. Mary Agatha;Female;NA;0;0;7,75;Q
34;No;2;Wheadon, Mr. Edward H;Male;66;0;0;10,5;S
35;No;1;Meyer, Mr. Edgar Joseph;Male;28;1;0;82,1708;C
36;No;1;Holverson, Mr. Alexander Oskar;Male;42;1;0;52;S
37;Yes;3;Mamee, Mr. Hanna;Male;NA;0;0;7,2292;C
38;No;3;Cann, Mr. Ernest Charles;Male;21;0;0;8,05;S
39;No;3;Vander Planke, Miss. Augusta Maria;Female;18;2;0;18;S
40;Yes;3;Nicola-Yarred, Miss. Jamila;Female;14;1;0;11,2417;C
41;No;3;Ahlin, Mrs. Johan (Johanna Persdotter Larsson);Female;40;1;0;9,475;S
42;No;2;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);Female;27;1;0;21;S
43;No;3;Kraeff, Mr. Theodor;Male;NA;0;0;7,8958;C
44;Yes;2;Laroche, Miss. Simonne Marie Anne Andree;Female;3;1;2;41,5792;C
45;Yes;3;Devaney, Miss. Margaret Delia;Female;19;0;0;7,8792;Q
