Tid;Acc;Kraft
0;0,101421597;946,804486
0,01;0,159553069;946,172897
0,02;0,199838524;944,754937
0,03;0,204614971;945,229783
0,04;0,190013511;946,80586
0,05;0,145755035;947,597191
0,06;0,096286207;949,017749
0,07;0,118642561;950,121091
0,08;0,138324448;949,018718
0,09;0,181572349;947,128266
0,1;0,175572766;944,922386
0,11;0,176304122;941,928099
0,12;0,132978363;941,14351
0,13;0,086610284;942,880793
0,14;0,073902908;945,564196
0,15;0,103002696;947,143848
0,16;0,180641425;947,778521
0,17;0,306056602;948,097522
0,18;0,342017654;947,156851
0,19;0,324628406;945,742469
0,2;0,274624011;943,85836
0,21;0,20458374;942,446165
0,22;0,142085824;941,032516
0,23;0,110381515;939,462049
0,24;0,12620941;939,150772
0,25;0,206181411;937,895978
0,26;0,310475652;938,846493
0,27;0,381725171;939,481498
0,28;0,382663944;938,857314
0,29;0,328941296;937,284976
0,3;0,313157915;933,03175
0,31;0,367937273;927,198949
0,32;0,366186071;921,209248
0,33;0,316905641;913,485511
0,34;0,199770388;903,872221
0,35;0,05792446;889,844819
0,36;-0,100145025;869,827716
0,37;-0,193577719;840,8263
0,38;-0,36248429;807,725058
0,39;-0,645274523;775,094434
0,4;-1,147399775;744,35247
0,41;-1,639888368;719,911895
0,42;-2,035454019;694,998503
0,43;-2,403261658;665,04047
0,44;-2,667020135;631,609076
0,45;-2,794758834;600,229504
0,46;-2,990177901;575,469842
0,47;-3,323954399;560,488511
0,48;-3,858010137;555,600859
0,49;-4,176417042;561,755037
0,5;-4,453725865;571,221445
0,51;-4,593285839;586,52277
0,52;-4,377188629;601,030721
0,53;-4,073655003;613,959173
0,54;-3,55509024;625,941585
0,55;-3,081224195;636,186703
0,56;-2,747966423;648,955809
0,57;-2,33300647;672,760489
0,58;-1,993522893;710,287554
0,59;-1,212857315;756,017754
0,6;-0,714715524;807,268014
0,61;-0,72219351;844,16918
0,62;-0,95361629;871,446719
0,63;-0,823455764;893,050152
0,64;-0,590505513;907,715566
0,65;-0,586730329;932,468708
0,66;-0,801376779;966,680604
0,67;-0,970279867;994,10748
0,68;-0,883716126;1021,529966
0,69;-0,256950688;1049,112195
0,7;0,326750351;1074,172463
0,71;1,212089226;1099,236798
0,72;1,78349971;1127,45671
0,73;1,787310047;1157,254492
0,74;1,733696528;1195,252161
0,75;1,651138967;1222,054035
0,76;1,897600487;1234,820373
0,77;2,067689258;1246,639782
0,78;2,534868007;1251,525896
0,79;2,961413886;1258,46433
0,8;3,043665706;1266,0394
0,81;2,970518984;1270,616855
0,82;3,430347008;1271,251643
0,83;3,635256801;1272,83051
0,84;3,811809508;1280,869776
0,85;4,171343633;1290,016122
0,86;4,020740668;1300,104837
0,87;3,447557732;1299,626571
0,88;3,928019111;1292,994376
0,89;3,968190262;1289,508887
0,9;4,17462553;1286,018433
0,91;4,218934843;1278,584482
0,92;4,29316725;1277,132501
0,93;4,438951887;1276,303326
0,94;4,462640974;1268,851562
0,95;4,420413846;1256,044856
0,96;4,518092756;1244,820248
0,97;4,422392626;1237,069898
0,98;4,412027551;1230,429237
0,99;4,157895045;1230,098666
1;4,020228794;1229,143903
1,01;4,036514276;1228,1928
1,02;4,039701243;1231,027553
1,03;3,396561534;1238,118135
1,04;2,851665566;1239,687116
1,05;2,168881264;1240,303321
1,06;1,664669956;1244,382968
1,07;1,213628989;1248,618055
1,08;0,872115591;1259,788807
1,09;0,535474336;1278,059773
1,1;-0,032330541;1296,174413
1,11;-0,584242229;1313,973872
1,12;-1,176201452;1334,132448
1,13;-1,825019705;1354,915618
1,14;-2,057512876;1380,42775
1,15;-1,63011665;1410,35001
1,16;-1,122767332;1447,996005
1,17;-0,821882267;1489,733683
1,18;-0,245812652;1534,297761
1,19;1,060952874;1588,304895
1,2;2,989133663;1641,514912
1,21;5,844337656;1691,888279
1,22;8,606119892;1745,896057
1,23;11,06188429;1795,812225
1,24;12,75555347;1840,534984
1,25;13,22661685;1876,129141
1,26;13,47883168;1898,170902
1,27;15,32603276;1905,086065
1,28;17,40483517;1893,250791
1,29;17,52334341;1857,936435
1,3;15,68018349;1790,638822
1,31;14,73081549;1683,164409
1,32;15,35820808;1524,330906
1,33;13,49420374;1311,303213
1,34;7,951683338;1037,148447
1,35;-0,525565043;677,9205
1,36;-7,639473667;266,562205
1,37;-13,8127431;25,042822
1,38;-16,94434324;-2,522603
1,39;-13,84271455;-0,473545
1,4;-6,197934505;-1,104481
1,41;-3,9549735;-0,000974
1,42;-7,319907498;-1,104645
1,43;-8,933104362;-1,419096
1,44;-8,761338108;-1,261383
1,45;-8,183969045;-0,789787
1,46;-8,832763885;-0,947012
1,47;-9,528689332;-1,578111
1,48;-9,731926121;-1,419421
1,49;-10,34771501;-1,104238
1,5;-10,54237415;-0,789706
1,51;-10,14430166;-0,945792
1,52;-9,28730858;-0,946931
1,53;-8,658994614;-0,946768
1,54;-8,517903178;-1,577053
1,55;-8,697697366;-0,947825
1,56;-9,134912748;-0,473222
1,57;-9,897187429;-0,947663
1,58;-11,00540253;-0,474523
1,59;-11,6525873;-1,419259
1,6;-11,95186058;-2,050031
1,61;-11,77182434;-1,261545
1,62;-11,35234712;-1,261951
1,63;-10,48401569;-0,789055
1,64;-9,641886095;-0,316565
1,65;-8,98648557;-0,473709
1,66;-8,64328245;-0,789785
1,67;-8,587899546;-0,473627
1,68;-8,970366011;-0,630691
1,69;-9,301054426;-0,316564
1,7;-9,47873896;-0,946849
1,71;-9,528788812;-0,945873
1,72;-9,362666678;-0,47444
1,73;-9,010448225;-0,632073
1,74;-8,764884225;-0,789137
1,75;-8,697442317;-0,159908
1,76;-8,759186738;-1,735662
1,77;-8,598305024;-0,789136
1,78;-8,158505823;-0,472976
1,79;-7,641687315;-0,632643
1,8;-7,157331132;148,290141
1,81;-5,968232;1556,945331
1,82;-3,391044524;899,187081
1,83;-0,43390346;1313,329891
1,84;8,768835346;1629,785881
1,85;21,7815303;1810,077484
1,86;33,66946929;3457,807392
1,87;57,34583504;4473,675217
1,88;36,1480301;3282,31033
1,89;-0,515756699;2247,285828
1,9;-9,534428398;1735,91137
1,91;-6,519423975;1762,542197
1,92;5,247979028;2081,529244
1,93;26,30426976;2285,685668
1,94;31,25499564;2163,828131
1,95;13,28658125;1938,811911
1,96;5,289658439;1824,683715
1,97;2,926727789;1850,765591
1,98;5,377009096;1882,851491
1,99;8,933891505;1863,517362
2;9,36081715;1801,127812
2,01;7,331601203;1744,411401
2,02;6,890909961;1707,886985
2,03;8,110956668;1670,577422
2,04;9,016302723;1618,284333
2,05;8,343166634;1556,53103
2,06;6,956052831;1492,572911
2,07;5,875154133;1424,044429
2,08;4,577818215;1350,785835
2,09;3,161119604;1265,387517
2,1;1,850794013;1168,001496
2,11;0,793689251;1070,762204
2,12;-0,40904773;974,621625
2,13;-1,635600241;882,097154
2,14;-2,411739514;805,638007
2,15;-2,881607738;735,643314
2,16;-3,432941492;667,382826
2,17;-3,844826126;603,689858
2,18;-4,194671601;544,720404
2,19;-4,695491621;487,957887
2,2;-5,345335608;444,439907
2,21;-6,177771028;411,958959
2,22;-6,922908386;394,300412
2,23;-7,6311332;395,562544
2,24;-8,075175581;409,758333
2,25;-7,956044795;432,784214
2,26;-7,213553885;458,96656
2,27;-6,217220172;489,402377
2,28;-5,169676735;525,35566
2,29;-4,027231706;572,191436
2,3;-3,111692288;627,068582
2,31;-2,233439365;686,359842
2,32;-1,604274167;744,702867
2,33;-1,06555271;800,20696
2,34;-0,534051513;848,930334
2,35;-0,162218501;893,08204
2,36;0,077574038;933,603888
2,37;0,194914216;972,548593
2,38;0,313562599;1004,713238
2,39;0,43748012;1028,677435
2,4;0,73032242;1044,754152
2,41;1,28291498;1051,843302
2,42;2,185913945;1049,156724
2,43;2,897562042;1045,522558
2,44;3,226087679;1040,31337
2,45;2,968796648;1036,522704
2,46;2,299144837;1028,481332
2,47;1,555404052;1014,766578
2,48;0,997485109;998,842445
2,49;0,513930434;984,182138
2,5;0,13359399;973,147121
2,51;-0,037749859;962,744843
2,52;-0,152749725;956,124038
2,53;-0,100779388;947,294512
2,54;0,086674607;936,412269
2,55;0,300287672;923,79607
2,56;0,424470409;916,381901
2,57;0,483792792;912,91082
2,58;0,441879594;912,278016
2,59;0,331214786;914,166681
2,6;0,070411963;911,95227
2,61;-0,145551671;902,00631
2,62;-0,287665053;897,722182
2,63;-0,330955889;921,463521
2,64;-0,230790425;934,003345
2,65;0,120418054;964,996983
2,66;0,23331723;969,368181
2,67;0,193094969;980,69486
2,68;0,325975584;989,335433
2,69;0,557352757;999,549411
2,7;0,885324179;993,223627
2,71;1,096459161;985,325748
2,72;1,175570043;971,913416
2,73;0,961591877;958,033878
2,74;0,687436415;948,097914
2,75;0,368766955;942,737028
2,76;0,075102584;941,161431
2,77;-0,120759979;940,060762
2,78;-0,150922562;941,163691
2,79;-0,069793974;940,841338
2,8;0,068566554;937,212448
2,81;0,080784571;932,005524
2,82;-0,006149279;925,698588
2,83;-0,138947066;925,225023
2,84;-0,473255753;927,117246
2,85;-0,473060883;931,055524
2,86;-0,472854053;936,101785
2,87;-0,405491585;942,729576
2,88;-0,196969055;949,832951
2,89;0,141687706;955,519098
2,9;0,410503791;958,688006
2,91;0,551962732;959,965329
2,92;0,584228645;959,980616
2,93;0,547644164;958,256499
2,94;0,435532642;954,794929
2,95;0,306807901;949,595823
2,96;0,127931393;943,607497
2,97;-0,03458695;939,035908
2,98;-0,13749612;933,363333
2,99;-0,266378908;933,047899
3;-0,355296424;932,888226
