0;58,87;0,47;TID;HEAT 1;HEAT 2;HEAT 3;HEAT 4
0,01;57,97;0,43;0;270,26;288,58;288,29;280,67
0,02;57,18;0,27;0,01;311,01;345,67;332,77;299,37
0,03;55,95;0,67;0,02;353,96;447,98;379,18;320,47
0,04;54,5;0,59;0,03;432,13;518;430,07;344,83
0,05;52,43;0,43;0,04;471,43;582,05;480,72;377,86
0,06;51,38;0,43;0,05;509,38;647,39;530,82;435,91
0,07;50,41;0,47;0,06;543,37;708,53;573,52;471,49
0,08;50,12;0,43;0,07;571,37;747,88;635,05;512,19
0,09;49;0,51;0,08;594,86;768,9;655,54;550,63
0,1;48,92;0,43;0,09;606,35;805,3;674,55;580,25
0,11;49,46;0,39;0,1;611,48;811,51;691,12;598,43
0,12;50,96;0,35;0,11;578,16;815,04;702,58;608,26
0,13;53,82;0,47;0,12;549,63;811,34;702,77;605,46
0,14;54,77;0,35;0,13;506,39;780,75;688,39;588,97
0,15;55,05;0,39;0,14;447,01;722,45;626,78;565,03
0,16;55,87;0,35;0,15;377,15;674,96;585,12;541,01
0,17;56,78;0,47;0,16;302,71;553,94;542,87;506,48
0,18;56,15;0,51;0,17;207,85;478,99;483,17;463,22
0,19;56,25;0,43;0,18;92,45;379,96;407,26;417,91
0,2;56,28;0,51;0,19;42,91;286,03;324,83;367,46
0,21;55,51;0,51;0,2;;190,13;245,28;306,52
0,22;55,33;0,35;0,21;;109,62;172,06;197,13
0,23;55;0,59;0,22;;54,02;79,04;145,24
0,24;54,41;0,43;0,23;;8,71;39,88;91,06
0,25;54,33;0,51;0,24;;;4,76;41,88
0,26;53,59;0,39;0,25;;;;13,12
0,27;52,57;0,43;0,26;;;;
0,28;51,47;0,55;0,27;;;;
0,29;48,96;0,51;0,28;;;;
0,3;48,09;0,35;;;;;
0,31;46,61;0,35;;;;;
0,32;45,05;0,31;;;;;
0,33;43,36;0,27;;;;;
0,34;42,11;0,47;;;;;
0,35;41,41;0,43;;;;;
0,36;40,36;0,19;;;;;
0,37;38,6;0,07;;;;;
0,38;38,73;0,15;;;;;
0,39;38,8;0,07;;;;;
0,4;39,41;0,03;;;;;
0,41;38,68;-0,01;;;;;
0,42;38,68;0,07;;;;;
0,43;38,55;0,03;;;;;
0,44;38,35;-0,01;;;;;
0,45;38,55;-0,13;;;;;
0,46;37,84;0,03;;;;;
0,47;37,96;-0,05;;;;;
0,48;37,7;-0,09;;;;;
0,49;37,32;0,03;;;;;
0,5;37,78;0,03;;;;;
0,51;38,42;0,15;;;;;
0,52;39,26;-0,09;;;;;
0,53;41,86;0,07;;;;;
0,54;42,2;0,11;;;;;
0,55;42,89;0,03;;;;;
0,56;44,4;0,23;;;;;
0,57;44,71;0,15;;;;;
0,58;45,81;0,23;;;;;
0,59;46,93;0,19;;;;;
0,6;47,85;-0,01;;;;;
0,61;50,69;0,15;;;;;
0,62;52,76;0,07;;;;;
0,63;54,75;0,23;;;;;
0,64;57,31;0,19;;;;;
0,65;59,09;0,23;;;;;
0,66;60,75;-0,01;;;;;
0,67;62,16;0,03;;;;;
0,68;62,95;0,15;;;;;
