TID;HEAT 1;HEAT 2;HEAT 3;HEAT 4
0;300,36;304,55;301,77;300,11
0,01;319,3;330,04;322,48;308,4
0,02;342,41;353,33;346,73;319,81
0,03;364,98;381,61;375,15;336,88
0,04;390,97;420,09;406,13;350,88
0,05;419,51;460,03;452,61;373,92
0,06;450,94;514,28;518;401,28
0,07;496,1;581,94;569,54;426,61
0,08;552,61;630,94;609,94;453,06
0,09;591,62;690,45;643,55;487,31
0,1;638,76;731,19;671,94;535,58
0,11;676,78;763,81;696,01;578,82
0,12;710,95;783,67;716,56;641,05
0,13;742;803,26;732,88;696,63
0,14;771,91;822,41;738,36;731,65
0,15;787,32;843,94;736,8;762,71
0,16;795,59;854,22;733,76;789,89
0,17;780,46;858,22;726;810,31
0,18;751,81;853,84;710,48;824,54
0,19;711,21;840,88;677,13;842,54
0,2;653,41;829,68;638,68;846,59
0,21;577,34;803,68;574,63;844,21
0,22;529,12;760,74;522,96;833,86
0,23;449,22;713,6;473,12;816,07
0,24;393,93;634,08;418,02;791,05
0,25;329,03;561,23;356,39;752,13
0,26;240,28;501,29;284,61;710,21
0,27;153,97;447,01;198,11;637,02
0,28;94,88;379,79;116,38;580,18
0,29;46,15;323,61;65,61;538,14
0,3;21,32;212,03;9,77;495,12
0,31;;101,39;;442
0,32;;45,41;;373,04
0,33;;2,66;;267,18
0,34;;;;144,18
0,35;;;;80,76
0,36;;;;25,26
0,37;;;;
0,38;;;;
0,39;;;;
0,4;;;;
0,41;;;;
0,42;;;;
0,43;;;;
0,44;;;;
0,45;;;;
0,46;;;;
0,47;;;;
0,48;;;;
0,49;;;;
0,5;;;;
0,51;;;;
0,52;;;;
0,53;;;;
0,54;;;;
0,55;;;;
0,56;;;;
0,57;;;;
0,58;;;;
0,59;;;;
0,6;;;;
0,61;;;;
0,62;;;;
0,63;;;;
0,64;;;;
0,65;;;;
0,66;;;;
0,67;;;;
0,68;;;;
0,69;;;;
0,7;;;;
0,71;;;;
0,72;;;;
0,73;;;;
0,74;;;;
0,75;;;;
0,76;;;;
0,77;;;;
0,78;;;;
0,79;;;;
0,8;;;;
0,81;;;;
0,82;;;;
0,83;;;;
0,84;;;;
0,85;;;;
0,86;;;;
0,87;;;;
0,88;;;;
0,89;;;;
0,9;;;;
0,91;;;;
0,92;;;;
0,93;;;;
0,94;;;;
0,95;;;;
0,96;;;;
0,97;;;;
0,98;;;;
0,99;;;;
1;;;;
1,01;;;;
1,02;;;;
1,03;;;;
1,04;;;;
1,05;;;;
1,06;;;;300,11
1,07;;;;308,4
1,08;;;;319,81
1,09;;;;336,88
1,1;;;;350,88
1,11;;;;373,92
1,12;;;;401,28
1,13;;;;426,61
1,14;;;;453,06
1,15;;;;487,31
1,16;;;;535,58
1,17;;;;578,82
1,18;;;;641,05
1,19;;;;696,63
1,2;;;;731,65
1,21;;;;762,71
1,22;;;;789,89
1,23;;;;810,31
1,24;;;;824,54
1,25;;;;842,54
1,26;;;;846,59
1,27;;;;844,21
1,28;;;;833,86
1,29;;;;816,07
1,3;;;;791,05
1,31;;;;752,13
1,32;;;;710,21
1,33;;;;637,02
1,34;;;;580,18
1,35;;;;538,14
1,36;;;;495,12
1,37;;;;442
1,38;;;;373,04
1,39;;;;267,18
1,4;;;;144,18
1,41;;;;80,76
1,42;;;;25,26
