"Tid";"Ålder"
9108;22
9138;34
9223;0
9282;28
9399;43
9428;27
9449;28
9567;37
9654;35
9968;45
10008;33
10054;34
10076;31
10091;25
10108;44
10175;34
10207;33
10347;42
10368;31
10392;23
10513;39
10764;34
10779;30
10790;31
10872;22
10875;45
10987;30
10992;39
11016;48
11031;41
11182;34
11242;46
11275;38
11288;36
11398;40
11466;48
11468;26
11470;40
11509;30
11518;45
11539;43
11556;39
11567;44
11577;42
11599;34
11604;45
11605;41
11625;28
11627;18
11630;29
11655;45
11658;30
11673;30
11679;37
11687;45
11726;38
11740;49
11769;45
11772;31
11775;29
11778;51
11793;40
11811;34
11820;43
11831;56
11841;34
11843;33
11849;37
11875;46
11927;28
11928;29
11932;31
11940;48
11972;25
11972;29
11980;31
11991;22
12002;30
12022;56
12045;27
12053;38
12077;35
12080;39
12084;41
12087;36
12138;41
12150;51
12154;47
12174;32
12203;38
12219;36
12225;32
12228;38
12238;33
12252;46
12285;30
12335;31
12342;50
12345;31
12362;47
12364;23
12367;39
12374;44
12374;30
12388;51
12401;32
12403;36
12420;23
12428;28
12429;34
12433;27
12455;30
12459;51
12464;46
12464;42
12474;38
12474;23
12482;36
12488;41
12489;28
12496;32
12502;41
12504;46
12508;43
12545;33
12547;29
12548;30
12555;24
12562;30
12564;27
12567;36
12573;33
12578;42
12584;34
12586;40
12594;29
12601;34
12602;41
12605;37
12638;28
12638;26
12646;25
12653;41
12657;26
12659;41
12660;43
12664;42
12665;41
12667;35
12673;38
12680;47
12705;26
12720;43
12731;46
12736;32
12754;41
12763;40
12765;47
12765;33
12773;30
12776;38
12782;41
12790;47
12793;28
12795;44
12798;36
12799;51
12801;35
12802;43
12809;48
12814;29
12830;32
12832;35
12835;40
12838;54
12840;34
12848;54
12856;37
12857;39
12861;27
12868;47
12869;34
12874;28
12883;38
12886;32
12887;26
12889;40
12890;43
12908;29
12920;30
12922;36
12927;51
12934;46
12937;32
12940;40
12946;49
12949;36
12959;41
12969;55
12971;36
12971;36
12986;36
12989;27
12994;26
13016;34
13020;39
13024;27
13024;25
13027;39
13046;42
13047;34
13056;31
13059;47
13061;41
13064;52
13068;47
13072;28
13076;58
13077;52
13081;50
13088;37
13096;56
13103;34
13107;29
13108;44
13113;45
13116;50
13117;29
13118;28
13127;42
13128;39
13128;27
13134;28
13146;46
13149;43
13168;48
13174;53
13176;45
13178;44
13179;50
13187;39
13189;35
13202;49
13210;25
13212;31
13214;39
13214;43
13215;55
13216;37
13217;23
13220;30
13224;34
13238;43
13247;49
13271;41
13272;27
13279;42
13281;52
13287;38
13288;45
13288;53
13291;48
13297;42
13303;31
13310;33
13310;45
13310;43
13314;30
13328;50
13331;35
13332;43
13337;29
13339;48
13343;45
13344;36
13356;46
13357;52
13365;30
13366;56
13372;35
13374;40
13376;41
13380;26
13382;34
13384;29
13390;45
13392;48
13393;46
13400;48
13406;30
13410;43
13410;45
13418;50
13421;32
13426;42
13428;38
13436;30
13439;50
13439;23
13446;38
13450;30
13460;46
13461;35
13463;36
13464;37
13472;44
13476;38
13478;32
13479;27
13479;35
13485;26
13487;28
13490;43
13515;54
13515;33
13518;28
13518;35
13522;51
13526;27
13527;31
13528;47
13530;40
13531;36
13531;55
13538;53
13539;44
13542;41
13543;23
13547;22
13551;26
13552;28
13562;45
13567;46
13570;46
13572;25
13574;29
13583;40
13584;36
13589;41
13593;31
13599;58
13602;25
13604;40
13617;26
13626;29
13629;32
13636;29
13643;38
13645;48
13645;28
13646;48
13647;25
13652;27
13652;32
13658;28
13662;53
13669;53
13671;20
13681;30
13687;28
13687;46
13692;42
13696;39
13698;53
13709;31
13721;29
13724;39
13733;47
13735;64
13736;32
13741;55
13741;49
13744;27
13749;52
13755;31
13755;43
13757;47
13759;50
13763;31
13767;36
13767;58
13773;35
13773;33
13777;48
13788;26
13788;50
13796;31
13800;41
13812;45
13813;45
13822;41
13823;38
13824;44
13827;53
13836;45
13839;24
13845;28
13846;43
13850;38
13851;58
13852;29
13855;59
13863;45
13876;32
13877;45
13883;25
13892;46
13894;28
13895;49
13897;35
13898;41
13900;29
13902;31
13905;32
13909;48
13914;50
13918;30
13922;35
13930;46
13934;36
13942;54
13942;34
13946;48
13949;32
13960;55
13961;35
13962;29
13964;38
13975;49
13977;50
13993;42
13993;56
13994;31
13994;29
13996;42
13996;44
13997;33
14002;44
14009;27
14009;48
14010;36
14011;41
14020;26
14024;53
14024;27
14027;40
14028;28
14031;22
14037;33
14039;54
14039;49
14045;32
14048;55
14051;56
14052;40
14055;29
14057;35
14058;41
14062;51
14066;30
14066;26
14078;29
14084;28
14089;42
14092;34
14093;32
14099;35
14101;33
14107;46
14108;37
14110;33
14113;39
14114;41
14125;41
14132;43
14133;50
14134;43
14140;43
14142;58
14143;55
14143;29
14149;48
14150;48
14153;45
14153;30
14157;27
14161;26
14164;53
14166;34
14169;48
14184;35
14184;34
14192;48
14195;53
14196;30
14196;47
14197;22
14200;27
14201;30
14207;26
14209;32
14212;32
14213;37
14213;55
14217;36
14219;37
14221;31
14221;50
14230;41
14232;29
14239;41
14240;22
14244;24
14246;50
14246;36
14248;27
14251;31
14265;60
14266;25
14268;39
14272;43
14273;29
14283;43
14283;42
14285;57
14287;31
14288;28
14291;47
14291;37
14293;28
14296;45
14297;34
14299;42
14299;48
14302;31
14305;37
14310;30
14311;29
14312;40
14316;43
14316;42
14317;29
14320;33
14320;36
14322;25
14328;43
14337;31
14344;46
14346;32
14348;37
14350;43
14352;40
14352;27
14357;42
14360;50
14361;38
14363;36
14365;64
14366;53
14367;27
14367;37
14368;48
14370;40
14370;41
14372;39
14375;40
14379;51
14380;48
14391;25
14397;27
14397;43
14399;50
14403;33
14406;26
14410;31
14411;31
14414;40
14419;29
14419;56
14420;46
14434;34
14436;27
14438;0
14441;33
14444;30
14455;28
14460;21
