"Tid";"Ålder"
7868;27
7905;36
7959;29
8082;35
8139;31
8313;30
8405;37
8459;26
8474;37
8477;26
8546;30
8553;33
8693;30
8811;32
8950;35
8964;41
8969;41
9028;32
9037;35
9061;33
9100;30
9106;38
9113;36
9128;38
9223;34
9227;45
9264;25
9285;34
9328;30
9361;38
9389;44
9413;33
9415;44
9427;43
9438;35
9448;40
9463;29
9538;41
9564;32
9586;29
9589;38
9595;55
9601;36
9603;36
9634;39
9634;35
9641;32
9641;40
9647;35
9657;32
9659;47
9665;28
9667;45
9680;45
9688;29
9688;31
9703;42
9715;37
9733;22
9757;38
9794;28
9825;37
9836;45
9840;50
9861;55
9883;38
9886;30
9913;31
9939;37
9953;48
9971;41
9983;46
9990;39
10002;44
10016;40
10044;29
10057;55
10080;42
10098;26
10121;47
10133;35
10143;34
10143;47
10157;46
10179;25
10183;34
10184;47
10191;39
10204;45
10212;35
10213;42
10219;29
10223;30
10230;45
10242;28
10251;52
10252;41
10255;32
10257;32
10258;39
10259;45
10278;32
10292;49
10295;36
10296;33
10297;59
10318;59
10321;37
10334;42
10335;25
10342;39
10343;31
10347;27
10355;29
10360;34
10368;50
10374;37
10388;29
10397;45
10409;33
10410;33
10411;27
10411;36
10414;41
10416;33
10418;39
10421;33
10421;41
10424;47
10434;37
10435;37
10436;38
10437;44
10439;44
10440;50
10446;50
10450;38
10451;30
10453;45
10455;39
10468;35
10469;26
10473;50
10488;32
10490;34
10495;49
10496;30
10504;43
10509;42
10520;48
10522;30
10535;39
10538;43
10538;49
10541;30
10546;36
10547;33
10557;32
10557;39
10558;45
10561;26
10571;42
10580;50
10580;52
10585;31
10591;39
10592;28
10592;42
10595;42
10597;28
10597;35
10600;32
10606;33
10608;31
10608;53
10616;30
10620;38
10621;50
10621;37
10622;33
10624;41
10627;35
10627;30
10636;55
10637;34
10641;57
10645;48
10648;26
10651;28
10652;41
10656;33
10660;41
10670;34
10672;26
10674;30
10679;32
10681;29
10684;42
10684;38
10686;46
10686;21
10687;35
10695;41
10696;46
10697;40
10704;52
10706;52
10707;32
10709;31
10728;49
10732;50
10733;46
10733;42
10742;40
10743;26
10743;34
10743;40
10745;26
10752;31
10753;28
10765;35
10767;36
10768;40
10770;33
10774;41
10778;34
10780;33
10781;43
10791;49
10792;35
10792;44
10793;45
10795;50
10799;37
10799;27
10801;24
10809;49
10809;47
10815;42
10824;34
10831;20
10834;28
10839;30
10840;30
10840;58
10844;32
10859;49
10862;35
10876;29
10891;48
10894;29
10903;40
10904;41
10911;40
10911;40
10914;30
10926;36
10927;29
10928;60
10946;26
10948;55
10948;49
10962;46
10972;27
10973;47
10975;44
10975;27
10976;56
10990;32
11001;40
11004;37
11007;35
11008;58
11010;54
11011;29
11015;32
11030;53
11037;36
11038;34
11038;41
11039;39
11043;29
11044;42
11045;40
11046;35
11046;36
11048;47
11052;40
11052;41
11054;35
11057;50
11060;36
11062;39
11064;25
11066;26
11068;34
11069;49
11069;55
11070;51
11072;38
11073;46
11082;40
11083;34
11085;43
11087;39
11088;28
11091;38
11094;50
11103;59
11114;30
11115;26
11116;55
11117;31
11121;27
11122;41
11127;36
11128;46
11131;33
11136;25
11141;51
11145;48
11145;42
11146;48
11148;29
11149;39
11152;44
11154;42
11155;35
11156;54
11162;40
11166;38
11172;35
11173;26
11181;38
11191;46
11194;36
11196;31
11199;27
11214;32
11216;51
11219;48
11219;50
11226;50
11230;28
11238;47
11238;50
11239;39
11239;31
11241;48
11242;46
11242;30
11243;44
11246;42
11246;49
11248;46
11248;41
11251;49
11253;48
11254;35
11254;34
11258;36
11261;24
11262;31
11264;23
11268;31
11274;41
11278;26
11279;32
11281;49
11281;34
11282;45
11282;27
11283;34
11284;31
11290;36
11291;51
11300;51
11301;32
11303;26
11304;49
11304;54
11311;45
11311;54
11317;44
11318;27
11325;52
11327;38
11327;47
11328;50
11329;45
11332;36
11332;34
11335;38
11335;30
11339;45
11340;49
11340;35
11341;47
11341;43
11341;38
11343;32
11344;46
11347;34
11348;45
11350;28
11351;30
11355;50
11363;46
11365;36
11368;48
11372;40
11372;31
11374;30
11376;45
11381;35
11388;62
11390;59
11390;34
11394;32
11394;39
11395;42
11408;50
11412;44
11416;37
11420;41
11420;46
11423;36
11424;27
11424;42
11425;37
11425;55
11427;40
11428;32
11431;32
11445;33
11449;29
11461;40
11463;38
11463;54
11465;50
11465;35
11468;49
11469;47
11471;31
11474;50
11474;26
11479;38
11487;48
11490;57
11493;49
11495;51
11496;35
11497;45
11498;36
11501;38
11505;46
11506;40
11508;30
11508;25
11509;33
11511;42
11512;37
11513;34
11513;38
11515;42
11517;43
11524;38
11524;38
11530;35
11531;48
11535;46
11537;51
11537;39
11540;33
11541;46
11542;60
11542;30
11542;30
11542;24
11544;49
11548;46
11551;34
11551;37
11553;51
11556;40
11558;41
11568;54
11571;39
11571;38
11573;37
11575;37
11577;27
11580;43
11581;32
11583;42
11584;39
11586;32
11586;38
11589;37
11590;47
11590;39
11591;45
11594;38
11600;49
11601;52
11604;28
11606;47
11608;38
11608;47
11608;65
11609;43
11611;44
11612;44
11614;32
11615;42
11615;46
11617;51
11617;53
11619;40
11620;47
11620;53
11624;37
11628;42
11628;37
11630;31
11634;32
11636;50
11643;45
11643;30
11644;46
11647;32
11648;43
11650;41
11651;52
11651;54
11652;45
11658;48
11665;32
11666;34
11668;33
11668;42
11671;39
11671;55
11672;48
11676;46
11683;45
11684;47
11687;50
11687;44
11691;43
11694;34
11700;52
11704;44
11707;47
11711;34
11712;54
11713;33
11714;42
11714;52
11715;37
11716;37
11719;30
11721;55
11722;58
11722;38
11725;25
11726;23
11726;32
11728;64
11728;45
11731;54
11731;48
11732;48
11736;56
11739;41
11739;48
11741;36
11741;33
11746;44
11747;50
11753;42
11756;29
11759;45
11760;56
11762;24
11764;45
11765;33
11773;42
11777;58
11778;46
11780;28
11781;45
11783;39
11783;38
11785;44
11785;40
11788;40
11788;39
11789;55
11793;42
11795;35
11797;45
11799;51
11800;32
11801;45
11808;44
11813;53
11823;28
11823;43
11826;42
11828;53
11830;42
11836;57
11840;51
11840;50
11841;51
11844;48
11845;43
11850;32
11858;31
11862;37
11863;37
11866;64
11866;23
11867;31
11869;46
11875;32
11876;46
11877;32
11878;29
11881;42
11882;33
11884;29
11885;35
11885;32
11887;32
11887;56
11889;48
11890;52
11893;40
11895;66
11896;43
11897;39
11901;46
11902;37
11903;43
11906;54
11909;40
11912;44
11914;42
11914;40
11917;48
11920;37
11922;56
11925;39
11927;42
11927;31
11933;35
11937;28
11940;22
11940;29
11942;33
11947;37
11947;39
11955;31
11956;55
11957;47
11958;32
11958;48
11958;34
11958;37
11959;47
11960;35
11963;42
11969;31
11972;33
11973;41
11973;47
11974;48
11974;48
11974;30
11976;49
11977;42
11978;37
11981;49
11981;49
11982;40
11982;54
11983;29
11984;41
11984;32
11987;55
11988;50
11990;34
11991;41
11991;29
11992;55
11993;55
11998;30
12002;36
12004;48
12005;44
12005;36
12010;57
12012;44
12012;37
12012;49
12014;45
12014;23
12016;33
12018;20
12019;34
12024;48
12025;52
12025;33
12030;56
12031;43
12034;42
12035;37
12036;60
12038;33
12040;46
12042;40
12042;42
12043;36
12047;60
12047;48
12055;37
12058;46
12064;57
12064;35
12064;44
12070;40
12070;39
12071;30
12072;34
12072;48
12076;42
12076;49
12079;35
12082;41
12086;39
12090;31
12093;48
12093;36
12094;25
12095;48
12099;37
12104;53
12105;38
12106;38
12111;42
12113;39
12116;48
12117;44
12119;42
12120;55
12122;32
12123;30
12126;46
12126;49
12129;43
12137;32
12139;42
12139;26
12140;44
12141;40
12145;37
12148;28
12150;31
12151;43
12151;47
12151;57
12153;28
12154;28
12160;41
12160;31
12164;36
12168;35
12169;43
12169;52
12170;38
12177;52
12179;32
12184;53
12184;47
12184;53
12184;63
12187;30
12190;28
12192;35
12194;53
12194;33
12195;36
12196;41
12197;46
12197;30
12198;47
12198;40
12199;41
12203;33
12205;31
12207;27
12209;32
12209;31
12210;40
12212;40
12217;31
12221;46
12223;23
12224;58
12226;45
12226;25
12228;44
12231;29
12231;36
12233;49
12233;28
12234;33
12239;33
12239;49
12240;46
12240;55
12243;22
12244;35
12247;39
12251;34
